stage,agent_id,reviewer_name,harness,model,task_id,terminal_status,scoreable_cell,verified_pass,failure_category,latency_seconds,estimated_cost_usd,usage_observed,cost_observation_kind,usage_source,billed_cost_usd,patch_sha256
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__clean_ext__017,verified_pass,True,True,verified pass,668.988,0.148874,True,observed_tokens_estimated_cost,adapter_output_usage_json,,ee97ac39bb49a06e8bf0eeba386c88de5da64b8ac95aea19d5ac6bdc9595958a
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__019,verified_fail,True,False,hidden verifier failure,255.6,0.501169,True,observed_tokens_estimated_cost,adapter_output_usage_json,,d56870552c9e5f0429e3dc7788f65c14a5f432830ad89f54af48ca1925e87757
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__020,verified_pass,True,True,verified pass,84.436,0.1551895,True,observed_tokens_estimated_cost,adapter_output_usage_json,,5ae35d4059377aa64ece9044937de2485df2f6e9155f421c7eb05cb5be7f4acf
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__022,verified_fail,True,False,hidden verifier failure,429.747,0.5147275,True,observed_tokens_estimated_cost,adapter_output_usage_json,,427582674ec6e5ad0ee68aaacb92a9e0b6ebefb72664cfd25d1bdc0f3e4f4221
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__023,verified_pass,True,True,verified pass,416.587,0.2676215,True,observed_tokens_estimated_cost,adapter_output_usage_json,,f99a758760f1ea81ba60a3db2e3a3e2b947e1674cf5d5dbce0932bf1a1ef4686
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__024,verified_pass,True,True,verified pass,143.395,0.2690465,True,observed_tokens_estimated_cost,adapter_output_usage_json,,35a476c28c5ea5fe15bea38c862ae1bbd0e815b71106a09723de13fc24f1926a
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__025,verified_pass,True,True,verified pass,146.722,0.1369525,True,observed_tokens_estimated_cost,adapter_output_usage_json,,b7cadaf8aeebf1192c9899998c8cf0adcf7e8ef90b03d44f6c3dcc4ccaf0bc08
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__026,verified_pass,True,True,verified pass,70.931,0.2056305,True,observed_tokens_estimated_cost,adapter_output_usage_json,,40c3d770a90acd9b832c79e6407dcb7e8b58219fd9a449084e74564d687968d1
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__027,verified_fail,True,False,hidden verifier failure,86.057,0.31169,True,observed_tokens_estimated_cost,adapter_output_usage_json,,d34b12bc7172ec6c0e50192785b0cd7e331fba6d0e50cdc77ab2d9d303d0b577
doubled_timeout_top2_repeat,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__028,verified_fail,True,False,hidden verifier failure,115.356,0.339613,True,observed_tokens_estimated_cost,adapter_output_usage_json,,3beaa4f92ac7a928b68ddbcfedba38d3f568139f3692997ae18a3e7bf28f69b4
