task_id,agent_id,stage,window_id,source_artifact_path,terminal_status,scoreable_cell,verified_pass,policy_valid_cell,policy_pass,policy_outcome_value,failure_category,latency_seconds,estimated_cost_usd,cost_observation_kind
boltons__clean_ext__017,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,668.988,0.148874,observed_tokens_estimated_cost
boltons__clean_ext__017,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,25.743,0.086524,observed_tokens_estimated_cost
boltons__hist__019,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,255.6,0.501169,observed_tokens_estimated_cost
boltons__hist__019,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,361.703,0.2766945,observed_tokens_estimated_cost
boltons__hist__020,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,84.436,0.1551895,observed_tokens_estimated_cost
boltons__hist__020,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,24.477,0.085609,observed_tokens_estimated_cost
boltons__hist__022,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,429.747,0.5147275,observed_tokens_estimated_cost
boltons__hist__022,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,49.537,0.191088,observed_tokens_estimated_cost
boltons__hist__023,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,416.587,0.2676215,observed_tokens_estimated_cost
boltons__hist__023,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,69.513,0.1779485,observed_tokens_estimated_cost
boltons__hist__024,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,143.395,0.2690465,observed_tokens_estimated_cost
boltons__hist__024,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,52.502,0.171169,observed_tokens_estimated_cost
boltons__hist__025,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,146.722,0.1369525,observed_tokens_estimated_cost
boltons__hist__025,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,25.531,0.0936535,observed_tokens_estimated_cost
boltons__hist__026,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,70.931,0.2056305,observed_tokens_estimated_cost
boltons__hist__026,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,51.3,0.159898,observed_tokens_estimated_cost
boltons__hist__027,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,86.057,0.31169,observed_tokens_estimated_cost
boltons__hist__027,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,48.683,0.1665945,observed_tokens_estimated_cost
boltons__hist__028,codex_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,115.356,0.339613,observed_tokens_estimated_cost
boltons__hist__028,kilo_gpt_5_4,doubled_timeout_top2_repeat,doubled_timeout_top2_repeat,experiments/agent_selection_demo/results/doubled_timeout_top2_repeat_score_table.csv,verified_pass,True,True,True,True,1,verified pass,55.515,0.2435895,observed_tokens_estimated_cost
boltons__clean_ext__017,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,83.585,0.177252,observed_tokens_estimated_cost
boltons__clean_ext__017,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,29.66,0.5,missing_usage_conservative_estimate
boltons__clean_ext__017,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,28.174,0.5,missing_usage_conservative_estimate
boltons__clean_ext__017,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,21.128,0.5,missing_usage_conservative_estimate
boltons__hist__019,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,398.877,0.8642485,observed_tokens_estimated_cost
boltons__hist__019,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,212.602,0.5,missing_usage_conservative_estimate
boltons__hist__019,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,115.788,0.5,missing_usage_conservative_estimate
boltons__hist__019,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,62.658,0.5,missing_usage_conservative_estimate
boltons__hist__020,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,72.004,0.158184,observed_tokens_estimated_cost
boltons__hist__020,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,40.471,0.5,missing_usage_conservative_estimate
boltons__hist__020,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,35.171,0.5,missing_usage_conservative_estimate
boltons__hist__020,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,26.663,0.5,missing_usage_conservative_estimate
boltons__hist__022,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,151.314,0.599603,observed_tokens_estimated_cost
boltons__hist__022,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,81.845,0.5,missing_usage_conservative_estimate
boltons__hist__022,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,58.279,0.5,missing_usage_conservative_estimate
boltons__hist__022,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,91.339,0.5,missing_usage_conservative_estimate
boltons__hist__023,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,157.808,0.278528,observed_tokens_estimated_cost
boltons__hist__023,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,119.71,0.5,missing_usage_conservative_estimate
boltons__hist__023,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,47.793,0.5,missing_usage_conservative_estimate
boltons__hist__023,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_fail,True,False,True,False,0,hidden verifier failure,96.981,0.5,missing_usage_conservative_estimate
boltons__hist__024,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,87.766,0.214376,observed_tokens_estimated_cost
boltons__hist__024,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,437.4,0.5,missing_usage_conservative_estimate
boltons__hist__024,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,48.048,0.5,missing_usage_conservative_estimate
boltons__hist__024,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,224.606,0.5,missing_usage_conservative_estimate
boltons__hist__025,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,93.587,0.1944785,observed_tokens_estimated_cost
boltons__hist__025,kilo_claude_sonnet_4_6,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,494.304,0.5,missing_usage_conservative_estimate
boltons__hist__025,kilo_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,39.366,0.5,missing_usage_conservative_estimate
boltons__hist__025,kilo_gpt_5_4_mini,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,42.141,0.5,missing_usage_conservative_estimate
boltons__hist__026,codex_gpt_5_4,holdout,final_later,experiments/agent_selection_demo/results/holdout_score_table.csv,verified_pass,True,True,True,True,1,verified pass,85.068,0.214132,observed_tokens_estimated_cost
