task_id,commit,parent_base_commit,task_time,time_bucket,module_family,preliminary_risk_label,changed_implementation_files,changed_test_files,pytest_entry_files,public_source_context_reference,expected_targeted_verifier_command
sphinx__hist__0001,51ae283a38ed297df3fd5e0554dcc9acaa103e8c,1513d5077439b6f1e69108233d1a08059f420970,2020-04-14T01:57:43+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/ext/autosummary/__init__.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,pr_or_issue:4257,python -m pytest <changed_tests> -q
sphinx__hist__0002,4582d5a396d378abc2de0c83a7ed6028678eeebf,7e7126a4a87827f51a734835a64d752178a93086,2021-02-27T18:45:07+09:00,pre_2022,builders,normal,sphinx/builders/html/__init__.py,tests/test_ext_math.py,tests/test_ext_math.py,pr_or_issue:9094,python -m pytest <changed_tests> -q
sphinx__hist__0003,d8a9f243e29ebb818d739a054c8b3afc6c81cd88,d656acaba3258fa6e9beb75e8409412315efb107,2021-05-01T14:50:46+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/ext/autodoc/directive.py,tests/test_ext_autodoc_autoclass.py,tests/test_ext_autodoc_autoclass.py,pr_or_issue:8107,python -m pytest <changed_tests> -q
sphinx__hist__0004,caa6579dbda5fd351b63f0786beffcd8a1cd9425,05abdad7492f7d16ebb4019fa738089042e7c85d,2021-05-02T21:00:26+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/singledispatch.py;tests/roots/test-ext-autodoc/target/singledispatchmethod.py;tests/test_ext_autodoc.py;tests/test_ext_autodoc_autofunction.py,tests/test_ext_autodoc.py;tests/test_ext_autodoc_autofunction.py,pr_or_issue:8872,python -m pytest <changed_tests> -q
sphinx__hist__0005,469def56b64e0a4b09c892dc4eaa0f0565841789,30237c004d3faebbcddbf12fc319b9c02e593b65,2021-05-02T22:44:44+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py;sphinx/util/docstrings.py,tests/roots/test-ext-autodoc/target/metadata.py;tests/test_ext_autodoc.py;tests/test_util_docstrings.py,tests/test_ext_autodoc.py;tests/test_util_docstrings.py,pr_or_issue:8597,python -m pytest <changed_tests> -q
sphinx__hist__0006,28ab5f233ce4265deecbe02b70e2c7a9bdf620c2,b237e78f9c233170f271c326bf46b7fb3b103858,2021-05-03T00:51:22+09:00,pre_2022,util,normal,sphinx/util/inspect.py,tests/roots/test-ext-autodoc/target/autodoc_type_aliases.py;tests/test_ext_autodoc_configs.py;tests/test_util_inspect.py,tests/test_ext_autodoc_configs.py;tests/test_util_inspect.py,pr_or_issue:8588,python -m pytest <changed_tests> -q
sphinx__hist__0007,d69c35b1a4facf1a37679ff22eaa6e431c081c69,512743525c64ef880ef02116fe3890ed29339bd4,2021-05-08T15:33:18+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/module.py;tests/test_ext_autodoc_automodule.py,tests/test_ext_autodoc_automodule.py,pr_or_issue:9175,python -m pytest <changed_tests> -q
sphinx__hist__0008,86091934db5ec593b4b0c982b7f08f3231ef995b,71e732014ffe5a58a0c52ac16c948ef13d99d19d,2021-05-10T01:22:38+09:00,pre_2022,util,normal,sphinx/util/typing.py,tests/test_util_typing.py,tests/test_util_typing.py,pr_or_issue:9195,python -m pytest <changed_tests> -q
sphinx__hist__0009,4ab0dba7555356e9f4ff2946a6b43fe4d1c82c78,d2c8cd3c803b27537a4d6f871279fce93d503d82,2021-05-11T01:06:42+09:00,pre_2022,domains,normal,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9205,python -m pytest <changed_tests> -q
sphinx__hist__0010,4ceedc102ddaeb7926a66ae9d6e672dd4060f4b1,1513d5077439b6f1e69108233d1a08059f420970,2021-05-15T16:09:23+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/roots/test-ext-autodoc/target/classes.py;tests/test_ext_autodoc_autoclass.py,tests/test_ext_autodoc_autoclass.py,"pr_or_issue:8061, pr_or_issue:9218",python -m pytest <changed_tests> -q
sphinx__hist__0011,d9be8f6d4e76bb8b6fd4cb08a4f6dbbb0fcef5b5,1513d5077439b6f1e69108233d1a08059f420970,2021-05-15T20:23:33+09:00,pre_2022,util,normal,sphinx/util/docfields.py,tests/test_domain_py.py,tests/test_domain_py.py,pr_or_issue:9224,python -m pytest <changed_tests> -q
sphinx__hist__0012,67db20d7057f82ed1b34dbda61ce70b78ad21d1c,1513d5077439b6f1e69108233d1a08059f420970,2021-05-16T00:35:03+09:00,pre_2022,extensions,normal,sphinx/ext/autodoc/__init__.py,tests/test_ext_autodoc_autoclass.py,tests/test_ext_autodoc_autoclass.py,pr_or_issue:3014,python -m pytest <changed_tests> -q
sphinx__hist__0013,79d9701a005db6aee2edaa330f6339031bb433d8,d6c19126c5ebd788619d491d4e70c949de9fd2ff,2021-05-17T23:18:00+09:00,pre_2022,builders,normal,sphinx/builders/manpage.py,tests/test_build_manpage.py,tests/test_build_manpage.py,pr_or_issue:9217,python -m pytest <changed_tests> -q
sphinx__hist__0014,2d3d668856e518203200e95b8b64788c98d39d9a,630e5bd15f43c6cd91e61723f40b6c94ef622060,2021-05-18T01:09:42+09:00,pre_2022,core_or_other,normal,sphinx/transforms/post_transforms/__init__.py,tests/roots/test-transforms-post_transforms-missing-reference/conf.py;tests/test_transforms_post_transforms.py,tests/test_transforms_post_transforms.py,pr_or_issue:9240,python -m pytest <changed_tests> -q
sphinx__hist__0015,5a8dec457a755ec95eb807b7dc483c8628e64103,d2d2d7bde350fd5d8dc696cb0eb68e2bc05387ec,2021-05-20T02:10:43+09:00,pre_2022,domains,normal,sphinx/domains/python.py;sphinx/ext/intersphinx.py,tests/test_ext_intersphinx.py,tests/test_ext_intersphinx.py,pr_or_issue:9240,python -m pytest <changed_tests> -q
