task_id,repo_id,split,adapter_id,terminal_status,scoreable_flag,pass_flag,result_prefix,batch_id,task_family,task_time_bucket,source_context_class,source_context_quality,statement_provenance,release_eligibility_provenance,public_context_ref_count,implementation_file_count,test_file_count,audit_status,ambiguity_flag_count,caution_flag_count,material_leakage_flag_count
attrs__v2__207,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_1_smoke_codex_workspace,1,attrs:_next_gen,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__135,boltons,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_1_smoke_codex_workspace,1,boltons:timeutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
click__third__275,click,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_1_smoke_codex_workspace,1,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,4,2,accepted_for_paid_package,0,1,0
attrs__v2__207,attrs,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_1_smoke_kilo_workspace,1,attrs:_next_gen,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
boltons__v2__135,boltons,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_1_smoke_kilo_workspace,1,boltons:timeutils,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
click__third__275,click,B_eval,kilo_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_1_smoke_kilo_workspace,1,click:core,recent_2023_or_later,pr_context_title_only,pr_title_only_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,4,2,accepted_for_paid_package,0,1,0
attrs__v2__264,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,attrs:_funcs,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,2,accepted_for_paid_package,0,0,0
attrs__v2__187,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,2,1,1,accepted_for_paid_package,0,0,0
attrs__v2__044,attrs,B_eval,codex_workspace,verified_fail,True,False,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,attrs:_make,legacy_2018_or_earlier,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
attrs__v2__253,attrs,B_eval,codex_workspace,verified_pass,True,True,phase1_three_repo_paid_validation_batch_2_small_pilot_complete_codex_workspace,2,attrs:_make,middle_2019_2022,issue_or_pr_context,non_leaky_issue_or_pr_context,fresh_or_third_repo_certification_release_eligible,fresh_or_third_repo_certification_release_eligible,1,1,1,accepted_for_paid_package,0,0,0
