row_id,task_id,target_repo,repo,task_order,task_time,final_split,stage_role,source,source_cluster,module_bucket,path_bucket,test_bucket,task_type,change_size_proxy,difficulty_bucket,recency_bucket,quality_score,risk_flag,flaky_flag,oracle_status,historical_difficulty,metadata_informativeness,feature_leakage_status,allowed_for_final_scoring,feature_leakage_notes,code_files,test_files,outcome_cell_count,complete_outcome_cells
boltons_selector_aware|task|boltons__supply_expansion_20260526__001,boltons__supply_expansion_20260526__001,mahmoud/boltons,boltons,0,2015-04-19T00:13:33-07:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,target_repo_repair,medium,medium,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.5,2.516667,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/tbutils.py,"tests/__init__.py,tests/tbutils_test.py",4,True
boltons_selector_aware|task|boltons__supply_expansion_20260526__002,boltons__supply_expansion_20260526__002,mahmoud/boltons,boltons,1,2015-04-19T00:30:30-07:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,2.266667,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/tbutils.py,tests/tbutils_test.py,4,True
boltons_selector_aware|task|boltons__supply_expansion_20260526__003,boltons__supply_expansion_20260526__003,mahmoud/boltons,boltons,2,2015-04-20T13:52:04-07:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,2.266667,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/tbutils.py,tests/tbutils_test.py,4,True
boltons_selector_aware|task|boltons__supply_expansion_20260526__004,boltons__supply_expansion_20260526__004,mahmoud/boltons,boltons,3,2015-04-20T13:52:53-07:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,2.266667,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/tbutils.py,tests/tbutils_test.py,4,True
boltons_selector_aware|task|boltons__supply_expansion_20260526__006,boltons__supply_expansion_20260526__006,mahmoud/boltons,boltons,4,2015-05-01T09:16:13+08:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:cacheutils,cacheutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,1.266667,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/cacheutils.py,tests/cacheutils_test.py,4,True
boltons_selector_aware|task|boltons__supply_expansion_20260526__019,boltons__supply_expansion_20260526__019,mahmoud/boltons,boltons,5,2015-07-30T11:07:00+02:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:iterutils,iterutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,0.933333,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/iterutils.py,tests/test_iterutils.py,4,True
boltons_selector_aware|task|boltons__v2__068,boltons__v2__068,mahmoud/boltons,boltons,6,2016-05-16T23:12:59-07:00,selection,displayed,phase1_three_repo_paid_validation_incremental_boltons_v2,phase1_three_repo_paid_validation_incremental_boltons_v2:cacheutils,cacheutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,0.983333,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/cacheutils.py,tests/test_cacheutils.py,4,True
boltons_selector_aware|task|boltons__supply_expansion_20260526__048,boltons__supply_expansion_20260526__048,mahmoud/boltons,boltons,7,2016-05-23T13:39:22+08:00,selection,displayed,supply_expansion_20260526,supply_expansion_20260526:strutils,strutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,0.933333,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/strutils.py,tests/test_strutils.py,4,True
boltons_selector_aware|task|boltons__v2__086,boltons__v2__086,mahmoud/boltons,boltons,8,2016-07-31T19:01:42-07:00,selection,displayed,phase1_three_repo_paid_validation_incremental_boltons_v2,phase1_three_repo_paid_validation_incremental_boltons_v2:iterutils,iterutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,0.983333,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/iterutils.py,tests/test_iterutils.py,4,True
boltons_selector_aware|task|boltons__v2__087,boltons__v2__087,mahmoud/boltons,boltons,9,2016-08-03T02:11:02-07:00,selection,displayed,phase1_three_repo_paid_validation_incremental_boltons_v2,phase1_three_repo_paid_validation_incremental_boltons_v2:funcutils,funcutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,1.983333,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/funcutils.py,tests/test_funcutils_fb.py,4,True
boltons_selector_aware|task|boltons__v2__091,boltons__v2__091,mahmoud/boltons,boltons,10,2016-10-24T07:19:32-05:00,selection,displayed,phase1_three_repo_paid_validation_incremental_boltons_v2,phase1_three_repo_paid_validation_incremental_boltons_v2:ioutils,ioutils,boltons,pytest_unit,target_repo_repair,small,small,legacy_2018_or_earlier,1.0,False,False,usable_committed_matrix_row,0.25,2.316667,metadata_only,True,Metadata-only selector feature reconstructed from manifest and final matrix; outcomes are joined only after selected task IDs are frozen.,boltons/ioutils.py,tests/test_ioutils.py,4,True
