origin_id,origin_index,origin_time,selection_start_time,selection_end_time,future_start_time,future_end_time,agent_id,reviewer_name,selection_task_count,future_task_count,selection_scoreable_count,future_scoreable_count,selection_pass_rate,future_pass_rate,absolute_error,selection_pass_count,future_pass_count
origin_10_2016-08-03,10,2016-08-03T02:11:02-07:00,2015-04-19T00:13:33-07:00,2016-08-03T02:11:02-07:00,2016-10-24T07:19:32-05:00,2023-05-07T01:25:38+08:00,codex_gpt_5_4,Codex + GPT mainline,10,40,10,40,0.5,0.525,0.025,5,21
origin_10_2016-08-03,10,2016-08-03T02:11:02-07:00,2015-04-19T00:13:33-07:00,2016-08-03T02:11:02-07:00,2016-10-24T07:19:32-05:00,2023-05-07T01:25:38+08:00,kilo_gpt_5_4,Kilo + GPT mainline,10,40,10,40,0.8,0.7,0.1,8,28
origin_10_2016-08-03,10,2016-08-03T02:11:02-07:00,2015-04-19T00:13:33-07:00,2016-08-03T02:11:02-07:00,2016-10-24T07:19:32-05:00,2023-05-07T01:25:38+08:00,kilo_gpt_5_4_mini,Kilo + GPT low-cost,10,40,9,39,0.444444,0.589744,0.145299,4,23
origin_10_2016-08-03,10,2016-08-03T02:11:02-07:00,2015-04-19T00:13:33-07:00,2016-08-03T02:11:02-07:00,2016-10-24T07:19:32-05:00,2023-05-07T01:25:38+08:00,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,10,40,9,39,0.555556,0.692308,0.136752,5,27
origin_20_2018-06-27,20,2018-06-27T16:51:35-05:00,2016-10-24T07:19:32-05:00,2018-06-27T16:51:35-05:00,2018-10-11T12:54:38+05:30,2023-05-07T01:25:38+08:00,codex_gpt_5_4,Codex + GPT mainline,10,30,10,30,0.3,0.6,0.3,3,18
origin_20_2018-06-27,20,2018-06-27T16:51:35-05:00,2016-10-24T07:19:32-05:00,2018-06-27T16:51:35-05:00,2018-10-11T12:54:38+05:30,2023-05-07T01:25:38+08:00,kilo_gpt_5_4,Kilo + GPT mainline,10,30,10,30,0.3,0.833333,0.533333,3,25
origin_20_2018-06-27,20,2018-06-27T16:51:35-05:00,2016-10-24T07:19:32-05:00,2018-06-27T16:51:35-05:00,2018-10-11T12:54:38+05:30,2023-05-07T01:25:38+08:00,kilo_gpt_5_4_mini,Kilo + GPT low-cost,10,30,10,29,0.4,0.655172,0.255172,4,19
origin_20_2018-06-27,20,2018-06-27T16:51:35-05:00,2016-10-24T07:19:32-05:00,2018-06-27T16:51:35-05:00,2018-10-11T12:54:38+05:30,2023-05-07T01:25:38+08:00,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,10,30,10,29,0.4,0.793103,0.393103,4,23
origin_30_2019-02-12,30,2019-02-12T15:15:17-05:00,2018-10-11T12:54:38+05:30,2019-02-12T15:15:17-05:00,2019-02-13T12:18:00+01:00,2023-05-07T01:25:38+08:00,codex_gpt_5_4,Codex + GPT mainline,10,20,10,20,0.3,0.75,0.45,3,15
origin_30_2019-02-12,30,2019-02-12T15:15:17-05:00,2018-10-11T12:54:38+05:30,2019-02-12T15:15:17-05:00,2019-02-13T12:18:00+01:00,2023-05-07T01:25:38+08:00,kilo_gpt_5_4,Kilo + GPT mainline,10,20,10,20,0.9,0.8,0.1,9,16
origin_30_2019-02-12,30,2019-02-12T15:15:17-05:00,2018-10-11T12:54:38+05:30,2019-02-12T15:15:17-05:00,2019-02-13T12:18:00+01:00,2023-05-07T01:25:38+08:00,kilo_gpt_5_4_mini,Kilo + GPT low-cost,10,20,10,19,0.5,0.736842,0.236842,5,14
origin_30_2019-02-12,30,2019-02-12T15:15:17-05:00,2018-10-11T12:54:38+05:30,2019-02-12T15:15:17-05:00,2019-02-13T12:18:00+01:00,2023-05-07T01:25:38+08:00,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,10,20,10,19,0.6,0.894737,0.294737,6,17
origin_40_2021-02-21,40,2021-02-21T22:35:25-08:00,2019-02-13T12:18:00+01:00,2021-02-21T22:35:25-08:00,2021-05-15T00:08:53-07:00,2023-05-07T01:25:38+08:00,codex_gpt_5_4,Codex + GPT mainline,10,10,10,10,0.7,0.8,0.1,7,8
origin_40_2021-02-21,40,2021-02-21T22:35:25-08:00,2019-02-13T12:18:00+01:00,2021-02-21T22:35:25-08:00,2021-05-15T00:08:53-07:00,2023-05-07T01:25:38+08:00,kilo_gpt_5_4,Kilo + GPT mainline,10,10,10,10,0.7,0.9,0.2,7,9
origin_40_2021-02-21,40,2021-02-21T22:35:25-08:00,2019-02-13T12:18:00+01:00,2021-02-21T22:35:25-08:00,2021-05-15T00:08:53-07:00,2023-05-07T01:25:38+08:00,kilo_gpt_5_4_mini,Kilo + GPT low-cost,10,10,9,10,0.666667,0.8,0.133333,6,8
origin_40_2021-02-21,40,2021-02-21T22:35:25-08:00,2019-02-13T12:18:00+01:00,2021-02-21T22:35:25-08:00,2021-05-15T00:08:53-07:00,2023-05-07T01:25:38+08:00,kilo_claude_sonnet_4_6,Kilo + Claude Sonnet,10,10,9,10,0.888889,0.9,0.011111,8,9
