stage,agent_id,reviewer_name,harness,model,task_id,terminal_status,scoreable_cell,verified_pass,failure_category,latency_seconds,estimated_cost_usd,usage_observed,cost_observation_kind,usage_source,billed_cost_usd,patch_sha256
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__001,verified_fail,True,False,hidden verifier failure,110.47,0.1768825,True,observed_tokens_estimated_cost,adapter_output_usage_json,,486f8f899f47a47006b37637b80ce9ad1c10a40bb53d389c9505db72d7be48c3
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__002,verified_pass,True,True,verified pass,78.892,0.2056105,True,observed_tokens_estimated_cost,adapter_output_usage_json,,2d83cae0c4e1fb85971e867eec916b03700bfad2b693a0793c2effc40e93cafd
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__003,verified_pass,True,True,verified pass,92.575,0.18185,True,observed_tokens_estimated_cost,adapter_output_usage_json,,21610fd14f1b9b60d49881c9a66238b430054b92f11f201dfb8e436cb43bafd5
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__004,verified_fail,True,False,hidden verifier failure,322.844,0.39648,True,observed_tokens_estimated_cost,adapter_output_usage_json,,d99f38e106f3798f9cefcdbaf4e39c8514d6ccd5887433fae1e59adbaa400f62
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__006,verified_pass,True,True,verified pass,53.06,0.1103045,True,observed_tokens_estimated_cost,adapter_output_usage_json,,d103518030bc48b96de2542acbd530f51df96d170701bf394773235e3c4466d5
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__019,verified_pass,True,True,verified pass,58.598,0.140128,True,observed_tokens_estimated_cost,adapter_output_usage_json,,959652d4cb30c883617e5931413ac538db7998367f5d38a8cf9bcaca4a042964
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__048,verified_fail,True,False,hidden verifier failure,366.753,0.428899,True,observed_tokens_estimated_cost,adapter_output_usage_json,,e8d7ab0ccb3a81f3b14238f4bd118fe9700a8d7fb09e83fbb034345a01f340dd
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__066,verified_pass,True,True,verified pass,89.079,0.1824095,True,observed_tokens_estimated_cost,adapter_output_usage_json,,304e8cceb66860a8b86f1cb0f84a9574696105120b482dc99195ae85ebc56b25
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__093,verified_pass,True,True,verified pass,54.368,0.1324475,True,observed_tokens_estimated_cost,adapter_output_usage_json,,5f7329578ba7895631f39e30ddaf97e8a7cbf9b3289e00eef439f142995cd5f2
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__095,verified_pass,True,True,verified pass,64.928,0.16548,True,observed_tokens_estimated_cost,adapter_output_usage_json,,351b886de956eb684509bd6bdf4f0145dcaaee27c53d6d8ae97e4ac86ff98143
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__supply_expansion_20260526__107,verified_fail,True,False,hidden verifier failure,267.657,0.381985,True,observed_tokens_estimated_cost,adapter_output_usage_json,,237c38aa52b471f0d018da17c29b4fa3df33965d508ae1eaa456e08020f4c599
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__clean_ext__001,verified_pass,True,True,verified pass,85.218,0.186047,True,observed_tokens_estimated_cost,adapter_output_usage_json,,c75676d95bc0eff3fd334158195269a9812004bdd27a5c91b2cd97404d1b999d
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__006,verified_fail,True,False,hidden verifier failure,255.352,0.5359655,True,observed_tokens_estimated_cost,adapter_output_usage_json,,9522c7a988d50dc4c78481cab883a34a25464c6919d4b7b6d36181e41dbd1c0a
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__hist__007,verified_pass,True,True,verified pass,94.916,0.235803,True,observed_tokens_estimated_cost,adapter_output_usage_json,,4ec3d9444db195cfbd5331cdfae02aafc8f604869ab405389ac5404b71b4daba
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__clean_ext__008,verified_pass,True,True,verified pass,106.156,0.2925035,True,observed_tokens_estimated_cost,adapter_output_usage_json,,997897f6f4588f4e470644152fd4d6fdd90fe58ff0a698859f7176f3f08b181b
selection,codex_gpt_5_4,Codex + GPT mainline,codex,gpt-5.4,boltons__clean_ext__010,verified_pass,True,True,verified pass,397.344,0.2233425,True,observed_tokens_estimated_cost,adapter_output_usage_json,,1b073847925ec78897ffebe231aefa4bc98c9601eae4f4a6e325504e901d35d4
