row_id,source_id,source_kind,source_role,evaluation_layer,window_id,origin_id,origin_time,repo,target_repo,task_id,stable_cluster_id,stage_role,task_time,source,source_cluster,module_bucket,path_bucket,test_bucket,task_type,change_size_proxy,difficulty_bucket,recency_bucket,quality_score,risk_flag,flaky_flag,oracle_status,historical_difficulty,historical_disagreement,pairwise_informativeness,metadata_informativeness,development_outcome_difficulty,development_outcome_disagreement,feature_leakage_status,allowed_for_final_scoring,feature_leakage_notes
boltons_demo_development|holdout|boltons__clean_ext__017,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__clean_ext__017,clean_outcome_unseen:timeutils,holdout,2022-12-07T18:22:36-08:00,clean_outcome_unseen,clean_outcome_unseen:timeutils,timeutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,usable,0.25,,,0.050366,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__019,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__019,canonical_history:ioutils,holdout,2022-12-08T03:45:47-06:00,canonical_history,canonical_history:ioutils,ioutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,usable,0.25,,,0.083104,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__020,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__020,canonical_history:timeutils,holdout,2022-12-08T15:51:37+06:00,canonical_history,canonical_history:timeutils,timeutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,usable,0.25,,,0.083104,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__022,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__022,canonical_history:iterutils,holdout,2023-02-20T07:22:09+01:00,canonical_history,canonical_history:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.160027,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__023,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__023,canonical_history:tbutils,holdout,2023-04-02T15:11:27-04:00,canonical_history,canonical_history:tbutils,tbutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.083104,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__024,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__024,canonical_history:dictutils,holdout,2023-04-20T18:29:33-07:00,canonical_history,canonical_history:dictutils,dictutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.121566,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__025,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__025,canonical_history:funcutils,holdout,2023-04-21T13:05:37+05:30,canonical_history,canonical_history:funcutils,funcutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.160027,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__026,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__026,canonical_history:dictutils,holdout,2023-05-07T01:25:38+08:00,canonical_history,canonical_history:dictutils,dictutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.121566,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__027,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__027,canonical_history:cacheutils,holdout,2023-10-29T21:31:16-07:00,canonical_history,canonical_history:cacheutils,cacheutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.083104,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
boltons_demo_development|holdout|boltons__hist__028,boltons_demo_development,no_paid_committed_sanitized_outcomes,development_bakeoff,development,boltons_selection_holdout_2026_06_14,boltons_selection_holdout_2026_06_14,2022-01-16T07:08:40+08:00,boltons,mahmoud/boltons,boltons__hist__028,canonical_history:iterutils,holdout,2023-10-31T11:31:12-07:00,canonical_history,canonical_history:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,usable,0.25,,,0.160027,,,metadata_only,True,No leakage-safe historical Agent-disagreement matrix is available; final scoring uses metadata-only fields.
