task_id,target_repo,task_time,stage_role,source,source_cluster,module_bucket,path_bucket,test_bucket,task_type,change_size_proxy,difficulty_bucket,recency_bucket,quality_score,risk_flag,flaky_flag,gates_pass,has_required_fields,base_commit_present,target_commit_present,is_final_selection_candidate,is_final_later_task,metadata_fallbacks
boltons__supply_expansion_20260526__001,mahmoud/boltons,2015-04-19T00:13:33-07:00,selection,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,unknown,medium,medium,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__002,mahmoud/boltons,2015-04-19T00:30:30-07:00,selection,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__003,mahmoud/boltons,2015-04-20T13:52:04-07:00,selection,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__004,mahmoud/boltons,2015-04-20T13:52:53-07:00,selection,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__006,mahmoud/boltons,2015-05-01T09:16:13+08:00,selection,supply_expansion_20260526,supply_expansion_20260526:cacheutils,cacheutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__019,mahmoud/boltons,2015-07-30T11:07:00+02:00,selection,supply_expansion_20260526,supply_expansion_20260526:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__048,mahmoud/boltons,2016-05-23T13:39:22+08:00,selection,supply_expansion_20260526,supply_expansion_20260526:strutils,strutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__066,mahmoud/boltons,2017-01-16T11:01:53-06:00,selection,supply_expansion_20260526,supply_expansion_20260526:tbutils,tbutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__093,mahmoud/boltons,2018-10-11T12:54:38+05:30,selection,supply_expansion_20260526,supply_expansion_20260526:timeutils,timeutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__095,mahmoud/boltons,2018-10-17T00:38:58Z,selection,supply_expansion_20260526,supply_expansion_20260526:cacheutils,cacheutils,boltons,pytest_unit,unknown,small,small,legacy_2018_or_earlier,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__107,mahmoud/boltons,2019-02-09T00:09:14-08:00,selection,supply_expansion_20260526,supply_expansion_20260526:mathutils,mathutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__clean_ext__001,mahmoud/boltons,2020-01-06T22:29:17-08:00,selection,clean_outcome_unseen,clean_outcome_unseen:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__006,mahmoud/boltons,2020-03-25T10:22:48-04:00,selection,canonical_history,canonical_history:funcutils,funcutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__007,mahmoud/boltons,2020-03-28T09:38:32+01:00,selection,canonical_history,canonical_history:socketutils,socketutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__clean_ext__008,mahmoud/boltons,2020-03-29T19:27:42-07:00,selection,clean_outcome_unseen,clean_outcome_unseen:setutils,setutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__clean_ext__010,mahmoud/boltons,2020-04-21T02:03:26-07:00,selection,clean_outcome_unseen,clean_outcome_unseen:setutils,setutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__011,mahmoud/boltons,2020-06-22T01:19:35-04:00,selection,canonical_history,canonical_history:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__013,mahmoud/boltons,2021-02-21T22:35:25-08:00,selection,canonical_history,canonical_history:funcutils,funcutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__014,mahmoud/boltons,2021-05-15T00:08:53-07:00,selection,canonical_history,canonical_history:fileutils+jsonutils,fileutils+jsonutils,boltons,pytest_unit,unknown,medium,medium,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__017,mahmoud/boltons,2022-01-16T07:08:40+08:00,selection,canonical_history,canonical_history:urlutils,urlutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,True,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__clean_ext__017,mahmoud/boltons,2022-12-07T18:22:36-08:00,holdout,clean_outcome_unseen,clean_outcome_unseen:timeutils,timeutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__019,mahmoud/boltons,2022-12-08T03:45:47-06:00,holdout,canonical_history,canonical_history:ioutils,ioutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__020,mahmoud/boltons,2022-12-08T15:51:37+06:00,holdout,canonical_history,canonical_history:timeutils,timeutils,boltons,pytest_unit,unknown,small,small,middle_2019_2022,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__022,mahmoud/boltons,2023-02-20T07:22:09+01:00,holdout,canonical_history,canonical_history:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__023,mahmoud/boltons,2023-04-02T15:11:27-04:00,holdout,canonical_history,canonical_history:tbutils,tbutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__024,mahmoud/boltons,2023-04-20T18:29:33-07:00,holdout,canonical_history,canonical_history:dictutils,dictutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__025,mahmoud/boltons,2023-04-21T13:05:37+05:30,holdout,canonical_history,canonical_history:funcutils,funcutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__026,mahmoud/boltons,2023-05-07T01:25:38+08:00,holdout,canonical_history,canonical_history:dictutils,dictutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__027,mahmoud/boltons,2023-10-29T21:31:16-07:00,holdout,canonical_history,canonical_history:cacheutils,cacheutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__028,mahmoud/boltons,2023-10-31T11:31:12-07:00,holdout,canonical_history,canonical_history:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,True,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__hist__031,mahmoud/boltons,2024-06-30T00:24:35-07:00,smoke,canonical_history,canonical_history:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__159,mahmoud/boltons,2025-07-22T13:47:31+02:00,unused,supply_expansion_20260526,supply_expansion_20260526:iterutils,iterutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
boltons__supply_expansion_20260526__157,mahmoud/boltons,2025-10-04T13:09:43-04:00,unused,supply_expansion_20260526,supply_expansion_20260526:listutils,listutils,boltons,pytest_unit,unknown,small,small,recent_2023_or_later,1.0,False,False,True,True,True,True,False,False,"task_type,risk_flag,flaky_flag,difficulty_bucket"
