stage,condition,candidate_id,repository,origin_id,agent_id,reviewer_name,harness,model,surface,task_id,terminal_status,scoreable_cell,verified_pass,failure_category,latency_seconds,estimated_cost_usd,usage_observed,cost_observation_kind,usage_source,input_tokens,cached_input_tokens,output_tokens,endpoint_proof_status,artifact_hash,patch_sha256,run_id,result_artifact_path
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2304,verified_fail,True,False,hidden verifier failure,142.067,0.2113176,True,observed_tokens_estimated_cost,adapter_output_usage_json,825994,677888,10977,llm_endpoint_proxy_secret_isolated,,fe83af49161eb27da161891491ebc2c69e43b2147e92f0f35a9c2309b174c225,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2304,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2304/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2305,verified_fail,True,False,hidden verifier failure,55.124,0.06891675,True,observed_tokens_estimated_cost,adapter_output_usage_json,323249,286720,4448,llm_endpoint_proxy_secret_isolated,,53f1728a8a2f355b0e24aaf20303a20c980cc63d5b8a7371ad4c7a8f79877391,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2305,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2305/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2308,verified_fail,True,False,hidden verifier failure,95.446,0.18983055,True,observed_tokens_estimated_cost,adapter_output_usage_json,287173,112384,11180,llm_endpoint_proxy_secret_isolated,,242a6b32a11a8a6a7c7c254a2390bce4686d2c44ff945dc1c7de068399d57cba,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2308,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2308/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2311,verified_fail,True,False,hidden verifier failure,376.281,0.61906035,True,observed_tokens_estimated_cost,adapter_output_usage_json,2379295,1843328,17519,llm_endpoint_proxy_secret_isolated,,ced93c976462b7fcf3e26ea1996611a82df9badfc699df64e579bc29200456cc,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2311,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2311/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2312,verified_fail,True,False,hidden verifier failure,198.001,0.2283768,True,observed_tokens_estimated_cost,adapter_output_usage_json,672942,475904,9979,llm_endpoint_proxy_secret_isolated,,bca0bb7f1cba5530beee0355b7151c143f7bafbf28810c2f4911ca12052f72fd,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2312,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2312/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2315,verified_fail,True,False,hidden verifier failure,40.166,0.06067095,True,observed_tokens_estimated_cost,adapter_output_usage_json,179177,128896,2954,llm_endpoint_proxy_secret_isolated,,1a2b3c9523fd66dcb8f3864bcd9a07040abcadcc3c84227842378195382f3fe1,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2315,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2315/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2317,verified_fail,True,False,hidden verifier failure,516.103,0.802554,True,observed_tokens_estimated_cost,adapter_output_usage_json,4022468,3466880,27966,llm_endpoint_proxy_secret_isolated,,01f30ee6cc2a915a53a74d2b11277f369072fec7126d835cf652f2bf53da851e,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2317,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2317/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2318,verified_pass,True,True,verified pass,192.884,0.3698718,True,observed_tokens_estimated_cost,adapter_output_usage_json,913280,527744,9142,llm_endpoint_proxy_secret_isolated,,9b1e0afb2e40a9f44fe2eb463f9c3d70d2e23974f334a5dc24bd3e319c52d760,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2318,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2318/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2320,verified_fail,True,False,hidden verifier failure,94.887,0.28544985,True,observed_tokens_estimated_cost,adapter_output_usage_json,704925,418048,8653,llm_endpoint_proxy_secret_isolated,,57a25abb8e2c40f01fe97424f6e6d366a231c32fa52f7d063e6f349b58c64c93,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2320,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2320/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2321,verified_fail,True,False,hidden verifier failure,513.032,0.54148155,True,observed_tokens_estimated_cost,adapter_output_usage_json,2166881,1694464,13352,llm_endpoint_proxy_secret_isolated,,d52d06dbd519d1b1f3178f63af6c272cd6432b22c7439956eeac15c29b6a4b03,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2321,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2321/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2323,verified_pass,True,True,verified pass,140.197,0.14306475,True,observed_tokens_estimated_cost,adapter_output_usage_json,488737,370560,5920,llm_endpoint_proxy_secret_isolated,,60aecb753da4219d1db586afb4f60e00279af6910ac412453f2c16e94297b1a8,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2323,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2323/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2325,verified_pass,True,True,verified pass,443.245,0.4212021,True,observed_tokens_estimated_cost,adapter_output_usage_json,1695940,1357568,14579,llm_endpoint_proxy_secret_isolated,,38800de911f6a9889de7a6a68b28f0e0208dc450314a9b64f314ae555e05576d,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2325,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2325/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2327,verified_fail,True,False,hidden verifier failure,186.124,0.20351775,True,observed_tokens_estimated_cost,adapter_output_usage_json,490399,283520,6021,llm_endpoint_proxy_secret_isolated,,e4b490f881d51f494d47694471baaf53652f272273125ec27cd63b2d8f8f7a0f,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2327,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2327/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2335,verified_pass,True,True,verified pass,170.975,0.25256055,True,observed_tokens_estimated_cost,adapter_output_usage_json,667555,454784,13083,llm_endpoint_proxy_secret_isolated,,21f2712b5ada16bffebff7f89697c33c2f0064ba27e1811abe5a6025812c8708,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2335,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2335/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2336,verified_fail,True,False,hidden verifier failure,335.96,0.42660015,True,observed_tokens_estimated_cost,adapter_output_usage_json,1224881,830592,15242,llm_endpoint_proxy_secret_isolated,,6a2cac5ca884cb9f986959ea9bb8eb1e00cbee65e756bfa565c0b2b198e827b9,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2336,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2336/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2338,verified_fail,True,False,hidden verifier failure,292.719,0.3695001,True,observed_tokens_estimated_cost,adapter_output_usage_json,1542170,1291648,18830,llm_endpoint_proxy_secret_isolated,,715b230854c931a640fb07546af12ee37c0bcfa8e76f25bc1a53415b85dd4b78,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2338,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2338/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2340,verified_fail,True,False,hidden verifier failure,157.59,0.29203305,True,observed_tokens_estimated_cost,adapter_output_usage_json,811895,541824,10854,llm_endpoint_proxy_secret_isolated,,f2a304bdc878af8479fa1e57dc87c2d4d8b67e96b129c1c4507938538b933af5,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2340,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2340/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2341,verified_pass,True,True,verified pass,252.382,0.6825474,True,observed_tokens_estimated_cost,adapter_output_usage_json,1786122,1079552,15923,llm_endpoint_proxy_secret_isolated,,6f79f2f12434d55a07defec176200b310049af7688a8996da04b1c8feae30d02,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2341,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2341/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2344,verified_pass,True,True,verified pass,211.406,0.2996229,True,observed_tokens_estimated_cost,adapter_output_usage_json,773062,458112,6456,llm_endpoint_proxy_secret_isolated,,cb40e14cd508d2869f6f9e8dc2d178d020051910d196bb6a2fc55d59b1ebd854,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2344,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2344/submission.patch
selected_baseline,baseline,,mypy,origin_40,kilo_gpt_5_4_mini,Kilo + GPT low-cost,kilo,gpt-5.4-mini,baseline_no_artifact,mypy__taskgen__2346,verified_pass,True,True,verified pass,134.42,0.3561027,True,observed_tokens_estimated_cost,adapter_output_usage_json,838292,491776,13185,llm_endpoint_proxy_secret_isolated,,be9b5a0698f053fbef425a84e6ac5112d6701add4cf4e5b6ac41783c41ca3722,selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2346,experiments/phase0_headroom/results/raw/workspace_acut/agent_tuning_demo_2026_06_17_selected_baseline_baseline/kilo_gpt_5_4_mini/selected_baseline__baseline__kilo_gpt_5_4_mini__mypy__taskgen__2346/submission.patch
