task_id,target_commit,base_commit,task_time,time_bucket,module_family,changed_implementation_files,changed_test_files,pytest_entry_files,winning_verifier_profile,verifier_duration_seconds,source_certification_provenance,evidence_digest
sphinx__hist__0044,b8844eb339df03b894a88b1eaf5859ebd443c792,2b5c55e45a0fc4e2197a9b8edb482b77c2fa3f85,2021-10-31T00:26:03+09:00,pre_2022,extensions,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py,py39_2018_2021_editable,7.076,sphinx_certification_wave,sha256:c647394d00ccd5de2d066bf9cce269706634358516c9456031ce8376bb1d3d9e
sphinx__hist__0052,c71ff1cd21ce796f871adef54e8a53c0eaa9e53a,5aa6cbbca85ddc3fe5dd93d45a7cf5073db2f334,2021-12-03T01:28:10+09:00,pre_2022,extensions,sphinx/ext/autodoc/__init__.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,py39_2018_2021_editable,8.484,sphinx_certification_wave,sha256:9c80dd39fefc30bf7d162851bfbc4fc9f72ca67d755ddd1c959f4f2805cc8b29
sphinx__hist__0061,1f71f85fd62eb4886b1cec0a4c15fbf9d0c4db8e,5da68c3de3a05f0498b1576f01397be6bad82f2d,2021-12-27T01:58:42+09:00,pre_2022,extensions,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py,py39_2018_2021_editable,11.624,sphinx_certification_wave,sha256:2985661033996f907f092dacfe7dafd1b6db1b5744136db7d3d9a5acd637bf30
sphinx__hist__0064,008005cc39838b37d2f78bdaf0d9cd3171cc3664,ce6803a18679f7085561b66ec1945ed4005e2d1d,2022-01-14T02:25:00+09:00,2022_2023,domains,sphinx/domains/std.py,tests/test_domain_std.py,tests/test_domain_std.py,py39_2018_2021_editable,12.071,sphinx_certification_wave,sha256:522193361d6980b7ec890eba415020397ca7f4dc113135c1aadb36229620ffab
sphinx__hist__0080,10dd5a0e436a3bc3457745358ab570c545508934,425a3e6c0926ab6d7163008760add359957b7d01,2022-05-07T19:52:25+09:00,2022_2023,extensions,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py,py39_2018_2021_editable,7.008,sphinx_certification_wave,sha256:d226cf989e763a46aeec1af5db265cf8394bf2275ab2cf16874a312b2318158c
sphinx__hist__0098,e7fc03bce2c2577a9c5331ce5b2fa43a66ce7773,8f893a625d1a2768caebc79c0e6d3e3e89c4b9e7,2022-07-17T20:27:43+09:00,2022_2023,builders,sphinx/builders/html/__init__.py,tests/roots/test-build-html-theme-having-multiple-stylesheets/conf.py;tests/test_build_html.py,tests/test_build_html.py,py39_2018_2021_editable,24.333,sphinx_certification_wave,sha256:d9d9abdab5de5a887977f8593f31dda29121949f58d725906de5afb59e9bbe42
sphinx__hist__0134,2902c6c55be460aae10b08504ed2fde4f3795f64,7a4ce71f6b464b0f1d8f3c5af535f026b0051f0b,2023-03-17T16:41:22Z,2022_2023,extensions,sphinx/ext/intersphinx.py,tests/test_ext_intersphinx.py,tests/test_ext_intersphinx.py,py310_2022_2023_editable,5.187,sphinx_certification_wave,sha256:c81b8532cbb4329f83f7a1bc7e3620555982023ae9a923209eb7e186b53fd22b
sphinx__hist__0160,8452300d54dce2da751941d9547dd54dc03e69bf,fe08cec019c52c15b7f7365013134e3f3d1b3739,2023-07-27T21:27:14+01:00,2022_2023,config,sphinx/config.py,tests/test_config.py,tests/test_config.py,py310_2022_2023_editable,10.24,sphinx_certification_wave,sha256:266ac57f5b208868e8fa140d5f593387af265805b1df3a9ce511f60fe2d1ce61
sphinx__hist__0178,0bad447070d45fc5538aed9bf15a1716c628f321,6cb783c0024a873722952a67ebb9f41771c8eb6d,2023-08-14T17:02:04+02:00,2022_2023,directives,sphinx/directives/other.py,tests/roots/test-directive-include/conf.py;tests/test_directive_other.py,tests/test_directive_other.py,py310_2022_2023_editable,4.446,sphinx_certification_wave,sha256:ce2e0138b67b1495f570f6f09331b83906d1c1c35660f54c464575a92908d207
sphinx__hist__0195,efd24cf4ca92077f7520ef7b7a07bcf6d7290549,4ce2d8476138977743b920b57864d49b7509f038,2024-01-04T02:23:45Z,2024_plus,config,sphinx/application.py;sphinx/config.py;sphinx/ext/autosummary/generate.py;sphinx/theming.py,tests/test_build_latex.py;tests/test_build_manpage.py;tests/test_build_texinfo.py;tests/test_config.py,tests/test_build_latex.py;tests/test_build_manpage.py;tests/test_build_texinfo.py;tests/test_config.py,py312_2024_editable,20.469,sphinx_certification_wave,sha256:f1688de3cb395ec6828e31402f3eb9ee6bace85c1ce0c8f1b02143bff9831d86
sphinx__hist__0228,67303920fe57355093042b85897cbf48857fb2df,e1d5235d5d68566c9676c142a8e6424daee75b81,2024-04-12T23:32:12+01:00,2024_plus,builders,sphinx/testing/fixtures.py,tests/test_builders/test_build_html_image.py;tests/test_builders/test_build_latex.py,tests/test_builders/test_build_html_image.py;tests/test_builders/test_build_latex.py,py312_2024_editable,12.814,sphinx_certification_wave,sha256:8806ed6b234caa384f75f8b9fb6f11ffc477ef7fb5d5b2d4c8d465fb9ea8d4fd
