task_id,target_commit,base_commit,task_time,time_bucket,module_family,terminal_status,failure_label,winning_profile_id,base_workspace_prepared,changed_tests_reconstructed,hidden_verifier_injection_works,base_reference_behavior_meaningful,verifier_duration_seconds,changed_implementation_files,changed_test_files,pytest_entry_files
sphinx__hist__0001,51ae283a38ed297df3fd5e0554dcc9acaa103e8c,1513d5077439b6f1e69108233d1a08059f420970,2020-04-14T01:57:43+09:00,pre_2022,extensions,failed,reference_target_test_failure,,True,True,True,False,0.427,sphinx/ext/autodoc/__init__.py;sphinx/ext/autosummary/__init__.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py
sphinx__hist__0009,4ab0dba7555356e9f4ff2946a6b43fe4d1c82c78,d2c8cd3c803b27537a4d6f871279fce93d503d82,2021-05-11T01:06:42+09:00,pre_2022,domains,failed,reference_target_test_failure,,True,True,True,False,0.398,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py
sphinx__hist__0017,0fb8e33f327d5f611ff338efe0be6debb1d95481,4d90277c49633705148793ab02b28353c8a59b48,2021-05-22T22:24:09+09:00,pre_2022,extensions,failed,reference_target_test_failure,,True,True,True,False,0.979,sphinx/ext/autodoc/__init__.py;sphinx/util/inspect.py,tests/test_util_inspect.py,tests/test_util_inspect.py
sphinx__hist__0025,120525563c4ed38ca2d05dc4757e81cf5415c473,939c7bb7ff7c53a4d27df067cea637540f0e1dad,2021-07-17T14:24:31+09:00,pre_2022,domains,failed,reference_target_test_failure,,True,True,True,False,1.294,sphinx/domains/python.py,tests/test_domain_py.py,tests/test_domain_py.py
sphinx__hist__0036,e79efef63a7e748cc96c95a592a59a2a16704bf1,a05dc0b41992b92fc4e352439a27eddd0f5a88a9,2021-09-21T02:03:31+09:00,pre_2022,extensions,failed,reference_target_test_failure,,True,True,True,False,1.121,sphinx/ext/autodoc/mock.py,tests/test_util_typing.py,tests/test_util_typing.py
sphinx__hist__0044,b8844eb339df03b894a88b1eaf5859ebd443c792,2b5c55e45a0fc4e2197a9b8edb482b77c2fa3f85,2021-10-31T00:26:03+09:00,pre_2022,extensions,passed,,py39_2018_2021_editable,True,True,True,True,7.076,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py
sphinx__hist__0052,c71ff1cd21ce796f871adef54e8a53c0eaa9e53a,5aa6cbbca85ddc3fe5dd93d45a7cf5073db2f334,2021-12-03T01:28:10+09:00,pre_2022,extensions,passed,,py39_2018_2021_editable,True,True,True,True,8.484,sphinx/ext/autodoc/__init__.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py
sphinx__hist__0061,1f71f85fd62eb4886b1cec0a4c15fbf9d0c4db8e,5da68c3de3a05f0498b1576f01397be6bad82f2d,2021-12-27T01:58:42+09:00,pre_2022,extensions,passed,,py39_2018_2021_editable,True,True,True,True,11.624,sphinx/ext/autodoc/typehints.py,tests/test_ext_autodoc_configs.py,tests/test_ext_autodoc_configs.py
sphinx__hist__0064,008005cc39838b37d2f78bdaf0d9cd3171cc3664,ce6803a18679f7085561b66ec1945ed4005e2d1d,2022-01-14T02:25:00+09:00,2022_2023,domains,passed,,py39_2018_2021_editable,True,True,True,True,12.071,sphinx/domains/std.py,tests/test_domain_std.py,tests/test_domain_std.py
sphinx__hist__0080,10dd5a0e436a3bc3457745358ab570c545508934,425a3e6c0926ab6d7163008760add359957b7d01,2022-05-07T19:52:25+09:00,2022_2023,extensions,passed,,py39_2018_2021_editable,True,True,True,True,7.008,sphinx/ext/autodoc/preserve_defaults.py,tests/roots/test-ext-autodoc/target/preserve_defaults.py;tests/test_ext_autodoc_preserve_defaults.py,tests/test_ext_autodoc_preserve_defaults.py
