repo,baseline,impl_test,refs,release_projected,raw_windows,evidence_windows,smoke,risk,label
boltons,True,202,42,57,7,1,passed,low_current_visible_smoke_passed,small_pilot_or_backup
attrs,True,361,249,31,8,0,passed,low_current_visible_smoke_passed,prep_candidate_certification_needed
click,True,392,59,30,10,0,passed,low_current_visible_smoke_passed,small_pilot_or_backup
toolz,True,196,12,5,4,0,not_run,medium_needs_current_smoke_or_replay_probe,screened_out_or_supply_below_gate
humanize,True,90,10,12,5,0,not_run,medium_needs_current_smoke_or_replay_probe,screened_out_or_supply_below_gate
packaging,False,248,179,0,10,0,passed,high_prior_replay_probe_failed,screened_out_or_supply_below_gate
jinja2,False,251,32,5,9,0,passed,low_current_visible_smoke_passed,screened_out_or_supply_below_gate
werkzeug,False,454,42,6,9,0,passed,low_current_visible_smoke_passed,screened_out_or_supply_below_gate
cachetools,False,89,53,22,7,0,passed,low_current_visible_smoke_passed,screened_out_or_supply_below_gate
pluggy,False,103,11,2,8,0,not_run,medium_needs_current_smoke_or_replay_probe,screened_out_or_supply_below_gate
sortedcontainers,False,69,6,1,3,0,not_run,medium_needs_current_smoke_or_replay_probe,screened_out_or_supply_below_gate
pytest,False,520,234,82,2,0,not_run,high_complex_or_infrastructure_heavy_tests,small_pilot_or_backup
requests,False,176,48,12,10,0,not_run,medium_external_or_integration_tests_need_isolation,screened_out_or_supply_below_gate
marshmallow,False,463,106,0,9,0,passed,high_prior_replay_probe_failed,screened_out_or_supply_below_gate
jsonschema,False,254,10,2,9,0,not_run,medium_needs_current_smoke_or_replay_probe,screened_out_or_supply_below_gate
urllib3,False,537,177,0,10,0,failed,high_visible_smoke_failed,screened_out_or_supply_below_gate
dateutil,False,161,6,1,2,0,not_run,medium_needs_current_smoke_or_replay_probe,screened_out_or_supply_below_gate
rich,False,0,0,0,0,0,,,screened_out
