status,candidate_filter_status,reject_reason,manual_review_reasons,changed_line_count
rejected,rejected,reject_subject_term:typo;no_behavior_code_file;no_changed_test_file,,2
candidate,accepted,,,10
candidate,accepted,,,53
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;project_file_heavy;no_changed_test_file,docs_or_config_change_present,53
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,accepted,no_changed_test_file,,2
rejected,accepted,no_changed_test_file,,3
rejected,accepted,no_changed_test_file,,6
rejected,rejected,no_behavior_code_file;no_changed_test_file,,9
candidate,accepted,,,13
candidate,manual_review_required,,cross_module_count_over:3,12
rejected,rejected,no_behavior_code_file;no_changed_test_file,,25
rejected,accepted,no_changed_test_file,,77
rejected,accepted,no_changed_test_file,,11
rejected,rejected,no_behavior_code_file,,12
rejected,rejected,reject_subject_term:add tests;no_behavior_code_file,,19
candidate,accepted,,,87
rejected,accepted,no_changed_test_file,,6
rejected,rejected,no_behavior_code_file,,6
rejected,accepted,no_changed_test_file,,16
rejected,rejected,no_behavior_code_file;no_changed_test_file,,16
rejected,accepted,no_changed_test_file,,20
rejected,rejected,no_behavior_code_file,,9
rejected,rejected,no_behavior_code_file,,1
candidate,accepted,,,12
candidate,accepted,,,80
rejected,rejected,no_behavior_code_file;no_changed_test_file,,80
rejected,rejected,no_behavior_code_file;no_changed_test_file,,172
candidate,accepted,,,29
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,18
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:typo,,19
candidate,accepted,,,18
rejected,accepted,no_changed_test_file,,126
rejected,rejected,reject_subject_term:typo;no_changed_test_file,,2
rejected,accepted,no_changed_test_file,,4
rejected,accepted,no_changed_test_file,,6
rejected,rejected,no_behavior_code_file;no_changed_test_file,,126
rejected,accepted,no_changed_test_file,,46
rejected,accepted,no_changed_test_file,,4
candidate,accepted,,,13
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,accepted,no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,accepted,no_changed_test_file,,41
rejected,rejected,no_behavior_code_file;no_changed_test_file,,15
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,reject_subject_term:add tests,,98
candidate,manual_review_required,,docs_or_config_change_present,126
rejected,rejected,no_behavior_code_file;no_changed_test_file,,224
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,24
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,23
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:format;no_behavior_code_file;no_changed_test_file,,6
rejected,rejected,reject_subject_term:docs;no_changed_test_file,docs_or_config_change_present,15
rejected,rejected,reject_subject_term:format;no_changed_test_file,,9
rejected,rejected,no_behavior_code_file,,40
rejected,accepted,no_changed_test_file,,15
rejected,accepted,no_changed_test_file,,3
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,11
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,,3
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,13
rejected,rejected,no_behavior_code_file;no_changed_test_file,,8
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
candidate,accepted,,,14
rejected,accepted,no_changed_test_file,,10
candidate,accepted,,,30
rejected,accepted,no_changed_test_file,,21
rejected,rejected,reject_subject_term:docs;no_changed_test_file,,10
rejected,rejected,reject_subject_term:docs;no_changed_test_file,,5
rejected,rejected,no_behavior_code_file;no_changed_test_file,,110
candidate,manual_review_required,,docs_or_config_change_present,235
rejected,rejected,no_behavior_code_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,7
rejected,accepted,no_changed_test_file,,2
candidate,accepted,,,24
rejected,accepted,no_changed_test_file,,5
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,7
candidate,accepted,,,28
rejected,rejected,changed_lines_over:250;no_changed_test_file,cross_module_count_over:3,901
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,21
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,accepted,no_changed_test_file,,87
candidate,accepted,,,22
rejected,rejected,reject_subject_term:typo,,18
candidate,accepted,,,24
rejected,rejected,project_file_heavy;no_behavior_code_file,docs_or_config_change_present,52
rejected,rejected,reject_subject_term:documentation;no_changed_test_file,,22
candidate,accepted,,,176
candidate,accepted,,,22
rejected,accepted,no_changed_test_file,,12
rejected,manual_review_required,no_changed_test_file,cross_module_count_over:3,26
rejected,rejected,no_behavior_code_file,,1
rejected,rejected,reject_subject_term:docs;project_file_heavy;no_behavior_code_file,docs_or_config_change_present,22
candidate,accepted,,,28
candidate,manual_review_required,,docs_or_config_change_present,78
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,21
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
candidate,accepted,,,35
candidate,accepted,,,32
candidate,accepted,,,11
candidate,accepted,,,17
candidate,manual_review_required,,docs_or_config_change_present,46
candidate,accepted,,,112
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,7
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,19
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,8
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
candidate,accepted,,,7
rejected,accepted,no_changed_test_file,,2
rejected,rejected,reject_subject_term:deprecate;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,28
rejected,accepted,no_changed_test_file,,9
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,reject_subject_term:drop support;changed_lines_over:250,cross_module_count_over:3;docs_or_config_change_present,881
rejected,rejected,reject_subject_term:pyupgrade;changed_lines_over:250,cross_module_count_over:3;docs_or_config_change_present,1041
rejected,rejected,reject_subject_term:drop support;no_changed_test_file,,121
rejected,rejected,reject_subject_term:pyupgrade,cross_module_count_over:3,148
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,accepted,no_changed_test_file,,5
rejected,rejected,no_behavior_code_file,,141
rejected,accepted,no_changed_test_file,,32
rejected,accepted,no_changed_test_file,,26
rejected,accepted,no_changed_test_file,,4
rejected,rejected,reject_subject_term:translation;no_changed_test_file,cross_module_count_over:3,35
rejected,accepted,no_changed_test_file,,2
rejected,rejected,reject_subject_term:typing;no_changed_test_file,cross_module_count_over:3,145
candidate,manual_review_required,,docs_or_config_change_present,24
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,27
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,0
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,7
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,6
rejected,rejected,no_behavior_code_file;changed_lines_over:250;no_changed_test_file,,1361
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,50
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,50
rejected,rejected,no_behavior_code_file;no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,accepted,no_changed_test_file,,5
rejected,accepted,no_changed_test_file,,11
rejected,rejected,reject_subject_term:format,,17
rejected,accepted,no_changed_test_file,,9
rejected,manual_review_required,no_changed_test_file,cross_module_count_over:3,55
rejected,accepted,no_changed_test_file,,8
rejected,rejected,no_behavior_code_file,,19
candidate,accepted,,,131
rejected,rejected,reject_subject_term:docs;no_changed_test_file,,10
rejected,accepted,no_changed_test_file,,6
rejected,rejected,no_behavior_code_file,,6
rejected,accepted,no_changed_test_file,,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,34
rejected,rejected,reject_subject_term:release;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,4
rejected,rejected,no_behavior_code_file;no_changed_test_file,,13
rejected,rejected,reject_subject_term:bump;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,2
candidate,accepted,,,95
