status,candidate_filter_status,reject_reason,manual_review_reasons,changed_line_count
rejected,rejected,reject_subject_term:drop support;project_file_heavy;no_changed_test_file,docs_or_config_change_present,203
candidate,manual_review_required,,cross_module_count_over:3,91
rejected,rejected,reject_subject_term:pyupgrade,cross_module_count_over:3;docs_or_config_change_present,57
rejected,manual_review_required,no_changed_test_file,cross_module_count_over:3,105
rejected,rejected,no_behavior_code_file;changed_lines_over:250;no_changed_test_file,,454
candidate,manual_review_required,,docs_or_config_change_present,37
rejected,rejected,no_behavior_code_file;no_changed_test_file,,37
candidate,manual_review_required,,docs_or_config_change_present,17
rejected,rejected,no_behavior_code_file;no_changed_test_file,,17
rejected,manual_review_required,no_changed_test_file,cross_module_count_over:3;docs_or_config_change_present,42
rejected,rejected,no_behavior_code_file;no_changed_test_file,,42
rejected,rejected,reject_subject_term:deprecate;project_file_heavy,docs_or_config_change_present,40
rejected,rejected,reject_subject_term:deprecate;no_behavior_code_file;no_changed_test_file,,40
candidate,manual_review_required,,docs_or_config_change_present,19
rejected,rejected,no_behavior_code_file;no_changed_test_file,,19
rejected,accepted,no_changed_test_file,,31
rejected,accepted,no_changed_test_file,,15
rejected,rejected,reject_subject_term:add tests;no_behavior_code_file,,21
rejected,accepted,no_changed_test_file,,40
rejected,rejected,no_behavior_code_file;no_changed_test_file,,93
rejected,rejected,project_file_heavy;changed_lines_over:250;no_changed_test_file,docs_or_config_change_present,455
rejected,rejected,reject_subject_term:docs;no_behavior_code_file;changed_lines_over:250;no_changed_test_file,,455
rejected,manual_review_required,no_changed_test_file,docs_or_config_change_present,9
rejected,rejected,no_behavior_code_file;no_changed_test_file,,9
rejected,rejected,reject_subject_term:docs;project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,12
rejected,rejected,no_behavior_code_file;no_changed_test_file,,12
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,111
rejected,rejected,no_behavior_code_file;no_changed_test_file,,111
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,86
rejected,rejected,no_behavior_code_file;no_changed_test_file,,86
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,1
rejected,rejected,project_file_heavy;no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,80
rejected,rejected,no_behavior_code_file;no_changed_test_file,,80
rejected,rejected,no_behavior_code_file;no_changed_test_file,docs_or_config_change_present,36
rejected,rejected,no_behavior_code_file;no_changed_test_file,,36
