task_id,status,first_failing_gate,checkout,oracle_extractable,no_op_fail,reference_pass,known_bad_fail,flakiness_check,ambiguity_review,solution_leakage_review,scope_clarity_review,cost_boundedness,taxonomy_labelability,manual_review_minutes,runtime_seconds_estimate
toolz__hist__001,certified,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,48,0.462
toolz__hist__002,certified,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,48,0.471
toolz__hist__003,certified,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,48,0.484
toolz__hist__004,certified,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,48,0.468
toolz__hist__005,rejected,reference_pass,pass,pass,pass,fail:reference_failed,pass,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.536
toolz__hist__006,rejected,reference_pass,pass,pass,pass,fail:reference_failed,pass,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.53
toolz__hist__007,rejected,no_op_fail,pass,pass,fail:no_op_passed_or_timed_out,pass,fail:no_op_passed_or_timed_out,pass,pass,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.454
toolz__hist__008,rejected,reference_pass,pass,pass,pass,fail:reference_failed,pass,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,weak:multi_file_scope,pass,pass,0,0.548
toolz__hist__009,rejected,reference_pass,pass,pass,pass,fail:reference_failed,pass,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,weak:multi_file_scope,pass,pass,0,0.845
toolz__hist__010,certified,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,48,0.482
toolz__hist__011,rejected,no_op_fail,pass,pass,fail:no_op_passed_or_timed_out,pass,fail:no_op_passed_or_timed_out,pass,weak,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.466
toolz__hist__012,rejected,reference_pass,pass,pass,pass,fail:reference_failed,pass,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.494
toolz__hist__013,rejected,reference_pass,pass,pass,pass,fail:reference_failed,pass,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.441
toolz__hist__014,rejected,no_op_fail,pass,pass,fail:no_op_passed_or_timed_out,pass,fail:no_op_passed_or_timed_out,pass,weak,weak:commit_subject_and_public_diff_may_expose_solution,pass,pass,pass,0,0.544
toolz__hist__015,rejected,no_op_fail,pass,pass,fail:no_op_passed_or_timed_out,fail:reference_failed,fail:no_op_passed_or_timed_out,fail:reference_rerun_failed_or_timed_out,pass,weak:commit_subject_and_public_diff_may_expose_solution,weak:multi_file_scope,pass,pass,0,0.904
toolz__hist__016,certified,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,48,0.467
