scope,adapter_id,repo_id,split,cell_count,scoreable_count,pass_count,pass_rate,policy_violation_count,B_eval_pass_rate,H_future_pass_rate,absolute_gap,observed_token_estimated_cost_usd,cost_per_cell_usd,median_latency_seconds
adapter_overall,codex_workspace,,,60,60,22,0.3667,0,0.2667,0.4667,0.2,32.22309,0.53705,115.059
adapter_repo,codex_workspace,attrs,,20,20,10,0.5,0,0.7,0.3,0.4,,,
adapter_repo,codex_workspace,boltons,,20,20,4,0.2,0,0.0,0.4,0.4,,,
adapter_repo,codex_workspace,click,,20,20,8,0.4,0,0.1,0.7,0.6,,,
adapter_split,codex_workspace,,B_eval,30,30,8,0.2667,0,,,,,,
adapter_split,codex_workspace,,H_future,30,30,14,0.4667,0,,,,,,
adapter_repo_split,codex_workspace,attrs,B_eval,10,10,7,0.7,0,,,,,,
adapter_repo_split,codex_workspace,attrs,H_future,10,10,3,0.3,0,,,,,,
adapter_repo_split,codex_workspace,boltons,B_eval,10,10,0,0.0,0,,,,,,
adapter_repo_split,codex_workspace,boltons,H_future,10,10,4,0.4,0,,,,,,
adapter_repo_split,codex_workspace,click,B_eval,10,10,1,0.1,0,,,,,,
adapter_repo_split,codex_workspace,click,H_future,10,10,7,0.7,0,,,,,,
adapter_overall,kilo_workspace,,,60,60,32,0.5333,0,0.5333,0.5333,0.0,19.044243,0.3174,52.5495
adapter_repo,kilo_workspace,attrs,,20,20,11,0.55,0,0.7,0.4,0.3,,,
adapter_repo,kilo_workspace,boltons,,20,20,7,0.35,0,0.3,0.4,0.1,,,
adapter_repo,kilo_workspace,click,,20,20,14,0.7,0,0.6,0.8,0.2,,,
adapter_split,kilo_workspace,,B_eval,30,30,16,0.5333,0,,,,,,
adapter_split,kilo_workspace,,H_future,30,30,16,0.5333,0,,,,,,
adapter_repo_split,kilo_workspace,attrs,B_eval,10,10,7,0.7,0,,,,,,
adapter_repo_split,kilo_workspace,attrs,H_future,10,10,4,0.4,0,,,,,,
adapter_repo_split,kilo_workspace,boltons,B_eval,10,10,3,0.3,0,,,,,,
adapter_repo_split,kilo_workspace,boltons,H_future,10,10,4,0.4,0,,,,,,
adapter_repo_split,kilo_workspace,click,B_eval,10,10,6,0.6,0,,,,,,
adapter_repo_split,kilo_workspace,click,H_future,10,10,8,0.8,0,,,,,,
